wavelength_fl_nm,fluorescence_405_nm,wavelength_abs_nm,absorbance
867.1,0.00095,843,0.016
867.9,0.0009,843.8,0.016
868.7,0.00085,844.6,0.016
869.5,0.00085,845.4,0.016
870.3,0.00085,846.2,0.017
871.1,0.00085,847,0.016
871.9,0.00085,847.8,0.016
872.7,0.0008,848.6,0.015
873.5,0.0008,849.4,0.016
874.3,0.00085,850.2,0.015
875.1,0.00085,851,0.016
875.9,0.0009,851.8,0.016
876.7,0.0009,852.6,0.016
877.5,0.0009,853.4,0.016
878.3,0.00085,854.2,0.016
879.1,0.00085,855,0.016
879.9,0.00085,855.8,0.016
880.7,0.00085,856.6,0.016
881.5,0.00085,857.4,0.015
882.3,0.00085,858.2,0.015
883.1,0.00085,859,0.016
883.9,0.00085,859.8,0.017
884.7,0.00085,860.6,0.016
885.5,0.00085,861.5,0.016
886.3,0.00085,862.3,0.016
887.1,0.0008,863.1,0.016
887.9,0.00085,863.9,0.015
888.7,0.0009,864.7,0.015
889.6,0.0009,865.5,0.015
890.4,0.00085,866.3,0.016
891.2,0.00085,867.1,0.016
892,0.00085,867.9,0.017
892.8,0.00085,868.7,0.016
893.6,0.0008,869.5,0.016
894.4,0.00085,870.3,0.016
895.2,0.00085,871.1,0.016
896,0.0009,871.9,0.016
896.8,0.00085,872.7,0.017
897.6,0.00085,873.5,0.016
898.4,0.00085,874.3,0.016
899.2,0.0008,875.1,0.016
900,0.00085,875.9,0.016
,,876.7,0.016
,,877.5,0.016
,,878.3,0.016
,,879.1,0.016
,,879.9,0.016
,,880.7,0.015
,,881.5,0.015
,,882.3,0.015
,,883.1,0.015
,,883.9,0.016
,,884.7,0.016
,,885.5,0.016
,,886.3,0.016
,,887.1,0.016
,,887.9,0.016
,,888.7,0.015
,,889.6,0.015
,,890.4,0.015
,,891.2,0.016
,,892,0.016
,,892.8,0.016
,,893.6,0.016
,,894.4,0.015
,,895.2,0.015
,,896,0.015
,,896.8,0.015
,,897.6,0.015
,,898.4,0.016
,,899.2,0.016
,,900,0.016
